Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Amorcito,2022-10-11 00:04:36,00:00:06,Autoplayed: user action: None; ,Ponyo on the Cliff by the Sea_hook_01_16x9,HOOK,Chrome PC (Cadmium),00:00:06,00:00:06,AR (Argentina)
Amorcito,2022-10-11 00:04:00,00:00:21,Autoplayed: user action: None; ,Cape Fear_hook_primary_16x9,HOOK,Chrome PC (Cadmium),00:00:21,00:00:21,AR (Argentina)
Amorcito,2022-10-10 23:48:22,00:00:38,Autoplayed: user action: None; ,Temporada 7 (Tráiler): Nailed It!,TRAILER,Chrome PC (Cadmium),00:00:38,00:00:38,AR (Argentina)
Amorcito,2022-10-10 23:20:06,00:27:46,,Kiki: Entregas a domicilio,,Chrome PC (Cadmium),01:43:13,01:43:13,AR (Argentina)
Amorcito,2022-10-10 22:58:32,00:14:57,,Kiki: Entregas a domicilio,,Chrome PC (Cadmium),01:16:04,Not latest view,AR (Argentina)
Amorcito,2022-10-09 21:59:26,01:01:37,,Kiki: Entregas a domicilio,,Chrome PC (Cadmium),01:01:37,Not latest view,AR (Argentina)
Amorcito,2022-10-09 21:49:21,00:00:05,Autoplayed: user action: None; ,"Shaun, el cordero: El vuelo antes de Navidad (Clip): Shaun, el cordero: El vuelo antes de Navidad",HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,AR (Argentina)
Amorcito,2022-10-09 21:49:05,00:00:07,Autoplayed: user action: None; ,"Tráiler: Shaun, el cordero: La película — Granjagedón",TRAILER,Chrome PC (Cadmium),00:00:07,00:00:07,AR (Argentina)
Amorcito,2022-09-25 02:13:25,00:00:08,Autoplayed: user action: None; ,Temporada 1 (Clip): Diseñando Miami,HOOK,Chrome PC (Cadmium),00:00:08,00:00:08,AR (Argentina)
Amorcito,2022-09-25 02:12:20,00:00:15,Autoplayed: user action: None; ,Monstruo: La historia de Jeffrey Dahmer (Clip): DAHMER,HOOK,Chrome PC (Cadmium),00:00:15,00:00:15,AR (Argentina)
Amorcito,2022-09-25 01:19:38,00:00:04,,Queer Eye: Brasil: Temporada 1: El mejor amigo de los animales (Capítulo 6),,Chrome PC (Cadmium),00:00:04,00:00:04,AR (Argentina)
Amorcito,2022-09-24 04:22:39,00:01:25,Autoplayed: user action: None; ,Temporada 1 (Tráiler): Glow Up,TRAILER,Chrome PC (Cadmium),00:01:25,00:01:25,AR (Argentina)
Amorcito,2022-09-24 03:31:18,00:45:27,,Queer Eye: Brasil: Temporada 1: El mejor amigo de los animales (Capítulo 6),,Chrome PC (Cadmium),00:45:30,Not latest view,AR (Argentina)
Amorcito,2022-09-21 02:42:13,00:00:03,,Queer Eye: Brasil: Temporada 1: El mejor amigo de los animales (Capítulo 6),,Chrome PC (Cadmium),00:00:03,Not latest view,AR (Argentina)
Amorcito,2022-09-19 03:56:20,00:00:21,Autoplayed: user action: None; ,Queer Eye: Brasil: Temporada 1: El mejor amigo de los animales (Capítulo 6),,Chrome PC (Cadmium),00:00:27,Not latest view,AR (Argentina)
Amorcito,2022-09-19 03:08:37,00:44:07,,Queer Eye: Brasil: Temporada 1: Un corazón gigante (Capítulo 5),,Chrome PC (Cadmium),00:44:07,00:44:07,AR (Argentina)
Amorcito,2022-09-18 04:32:57,00:00:05,Autoplayed: user action: None; ,Temporada 6 (Clip): Queer Eye,HOOK,Chrome PC (Cadmium),00:00:05,00:00:05,AR (Argentina)
Amorcito,2022-09-18 04:29:55,00:00:05,Autoplayed: user action: None; ,Queer Eye: Brasil: Temporada 1: Un corazón gigante (Capítulo 5),,Chrome PC (Cadmium),00:00:11,Not latest view,AR (Argentina)
Amorcito,2022-09-18 03:43:02,00:46:50,,Queer Eye: Brasil: Temporada 1: Vida de diva y deudas (Capítulo 4),,Chrome PC (Cadmium),00:46:51,00:46:51,AR (Argentina)
Amorcito,2022-09-18 03:05:19,00:00:03,,Queer Eye: Brasil: Temporada 1: Vida de diva y deudas (Capítulo 4),,Chrome PC (Cadmium),00:00:01,Not latest view,AR (Argentina)
Amorcito,2022-09-17 04:51:35,00:02:46,Autoplayed: user action: None; ,Queer Eye: Brasil: Temporada 1: Vida de diva y deudas (Capítulo 4),,Chrome PC (Cadmium),00:02:52,Not latest view,AR (Argentina)
Amorcito,2022-09-17 04:03:22,00:48:13,,Queer Eye: Brasil: Temporada 1: Una hermosa mujer (Capítulo 3),,Chrome PC (Cadmium),00:48:19,00:48:19,AR (Argentina)
Amorcito,2022-09-17 03:05:22,00:47:15,,Queer Eye: Brasil: Temporada 1: Se trata de ver el amor (Capítulo 2),,Chrome PC (Cadmium),00:47:21,00:47:21,AR (Argentina)
Amorcito,2022-09-17 03:05:00,00:00:12,,"Queer Eye: Brasil: Temporada 1: ¡Fuera, monstruos! (Capítulo 1)",,Chrome PC (Cadmium),00:48:04,00:48:04,AR (Argentina)
Amorcito,2022-09-16 02:49:13,00:46:00,,"Queer Eye: Brasil: Temporada 1: ¡Fuera, monstruos! (Capítulo 1)",,Chrome PC (Cadmium),00:45:57,Not latest view,AR (Argentina)
Amorcito,2022-09-16 02:48:22,00:00:06,Autoplayed: user action: None; ,Season 1 Teaser : Instant Dream Home,TEASER_TRAILER,Chrome PC (Cadmium),00:00:06,00:00:06,AR (Argentina)
Amorcito,2022-08-20 04:06:29,00:01:33,Autoplayed: user action: None; ,Temporada 1 (Tráiler): Remodelación instantánea,TRAILER,Chrome PC (Cadmium),00:01:33,00:01:33,AR (Argentina)
Amorcito,2022-08-20 03:37:03,00:29:27,,Remodelaciones de ensueño: Temporada 3: Una sala de estar cobra vida (Capítulo 6),,Chrome PC (Cadmium),00:29:32,00:29:32,AR (Argentina)
Amorcito,2022-08-20 03:05:49,00:29:22,,Remodelaciones de ensueño: Temporada 3: Renovación de un dormitorio principal (Capítulo 5),,Chrome PC (Cadmium),00:29:22,00:29:22,AR (Argentina)
Amorcito,2022-08-20 03:05:41,00:00:04,Autoplayed: user action: None; ,Temporada 3 (Clip): Remodelaciones de ensueño,HOOK,Chrome PC (Cadmium),00:00:04,00:00:04,AR (Argentina)
Amorcito,2022-08-20 03:04:33,00:01:04,Autoplayed: user action: None; ,Temporada 2 (Clip): La celestina de la India,HOOK,Chrome PC (Cadmium),00:01:04,00:01:04,AR (Argentina)
Amorcito,2022-08-20 03:03:41,00:00:46,Autoplayed: user action: None; ,Temporada 1 (Clip): Remodelación instantánea,HOOK,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-07-31 03:50:07,00:00:05,Autoplayed: user action: None; ,Remodelaciones de ensueño: Temporada 3: Renovación de un dormitorio principal (Capítulo 5),,Netflix Chrome Linux (Cadmium) HTML 5,00:00:10,Not latest view,AR (Argentina)
Amorcito,2022-07-31 03:19:45,00:28:56,,Remodelaciones de ensueño: Temporada 3: La transformación de un sótano (Capítulo 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:28:56,00:28:56,AR (Argentina)
Amorcito,2022-07-30 04:56:11,00:00:06,Autoplayed: user action: None; ,Remodelaciones de ensueño: Temporada 3: La transformación de un sótano (Capítulo 4),,Netflix Chrome Linux (Cadmium) HTML 5,00:00:11,Not latest view,AR (Argentina)
Amorcito,2022-07-30 04:18:46,00:32:37,,Remodelaciones de ensueño: Temporada 3: Una casa verdaderamente soñada (Capítulo 3),,Netflix Chrome Linux (Cadmium) HTML 5,00:32:42,00:32:42,AR (Argentina)
Amorcito,2022-07-30 03:48:26,00:30:18,,Remodelaciones de ensueño: Temporada 3: Un espacio de concepto abierto (Capítulo 2),,Netflix Chrome Linux (Cadmium) HTML 5,00:30:23,00:30:23,AR (Argentina)
Amorcito,2022-07-30 03:14:47,00:28:48,,Remodelaciones de ensueño: Temporada 3: Una cocina de ensueño hecha realidad (Capítulo 1),,Netflix Chrome Linux (Cadmium) HTML 5,00:28:58,00:28:58,AR (Argentina)
Amorcito,2022-07-30 03:13:11,00:00:08,,Persuasión,,Netflix Chrome Linux (Cadmium) HTML 5,00:00:08,00:00:08,AR (Argentina)
Amorcito,2022-07-23 05:05:47,00:00:47,Autoplayed: user action: None; ,Kiki's Delivery Service_hook_primary_16x9,HOOK,Netflix Chrome Linux (Cadmium) HTML 5,00:00:47,00:00:47,AR (Argentina)
Amorcito,2022-07-23 03:17:56,01:43:49,,Persuasión,,Netflix Chrome Linux (Cadmium) HTML 5,01:43:49,Not latest view,AR (Argentina)
Amorcito,2022-07-10 21:17:12,00:01:02,Autoplayed: user action: None; ,Temporada 1 (Tráiler): A hornear con Nadiya,TRAILER,Chrome PC (Cadmium),00:01:02,00:01:02,AR (Argentina)
Amorcito,2022-07-10 19:46:39,01:26:39,,Mi vecino Totoro,,Chrome PC (Cadmium),01:26:37,01:26:37,AR (Argentina)
Amorcito,2022-07-10 15:23:49,00:00:15,Autoplayed: user action: None; ,A Whisker Away PVS Clip 2,HOOK,Chrome PC (Cadmium),00:00:15,00:00:15,AR (Argentina)
Amorcito,2022-07-10 15:23:34,00:00:12,Autoplayed: user action: None; ,My Neighbor Totoro_hook_03_16x9,HOOK,Chrome PC (Cadmium),00:00:12,00:00:12,AR (Argentina)
Amorcito,2022-07-10 15:23:20,00:00:04,Autoplayed: user action: None; ,My Neighbor Totoro_hook_03_16x9,HOOK,Chrome PC (Cadmium),00:00:04,Not latest view,AR (Argentina)
Amorcito,2022-05-08 01:08:47,00:00:02,,Peaky Blinders: Temporada 2: Episodio 3 (Capítulo 3),,Chrome PC (Cadmium),00:00:04,00:00:04,AR (Argentina)
Amorcito,2022-05-03 01:35:15,00:00:02,,Peaky Blinders: Temporada 2: Episodio 3 (Capítulo 3),,Chrome PC (Cadmium),00:00:02,Not latest view,AR (Argentina)
Amorcito,2022-05-01 03:18:43,00:57:09,,Peaky Blinders: Temporada 2: Episodio 2 (Capítulo 2),,Chrome PC (Cadmium),00:57:10,00:57:10,AR (Argentina)
Amorcito,2022-05-01 02:51:15,00:22:18,,Peaky Blinders: Temporada 2: Episodio 1 (Capítulo 1),,Chrome PC (Cadmium),00:58:34,00:58:34,AR (Argentina)
Amorcito,2022-05-01 02:40:38,00:00:07,Autoplayed: user action: None; ,Temporada 1 (Clip): Heartstopper,HOOK,Chrome PC (Cadmium),00:00:07,00:00:07,AR (Argentina)
Amorcito,2022-04-21 02:17:11,00:01:53,Autoplayed: user action: None; ,Temporada 6 (Tráiler): Better Call Saul,TRAILER,Chrome PC (Cadmium),00:00:00,00:00:00,AR (Argentina)
Amorcito,2022-04-20 04:09:13,00:01:53,Autoplayed: user action: None; ,Temporada 6 (Tráiler): Better Call Saul,TRAILER,Chrome PC (Cadmium),00:01:53,Not latest view,AR (Argentina)
Amorcito,2022-04-20 03:26:12,00:43:00,,Queer Eye: Alemania: Temporada 1: Que la fuerza acompañe a Eugen (Capítulo 5),,Chrome PC (Cadmium),00:48:06,00:48:06,AR (Argentina)
Amorcito,2022-04-20 02:46:49,00:00:01,,Queer Eye: Alemania: Temporada 1: Que la fuerza acompañe a Eugen (Capítulo 5),,Chrome PC (Cadmium),00:05:05,Not latest view,AR (Argentina)
Amorcito,2022-04-19 03:03:17,00:04:59,Autoplayed: user action: None; ,Queer Eye: Alemania: Temporada 1: Que la fuerza acompañe a Eugen (Capítulo 5),,Chrome PC (Cadmium),00:05:04,Not latest view,AR (Argentina)
Amorcito,2022-04-19 02:32:53,00:27:03,,Queer Eye: Alemania: Temporada 1: Un día de playa (Capítulo 4),,Chrome PC (Cadmium),00:48:20,00:48:20,AR (Argentina)
Amorcito,2022-04-19 02:30:50,00:00:01,,Queer Eye: Alemania: Temporada 1: Un día de playa (Capítulo 4),,Chrome PC (Cadmium),00:21:27,Not latest view,AR (Argentina)
Amorcito,2022-04-19 01:51:18,00:00:01,,Queer Eye: Alemania: Temporada 1: Un día de playa (Capítulo 4),,Chrome PC (Cadmium),00:21:26,Not latest view,AR (Argentina)
Amorcito,2022-04-18 03:21:54,00:21:20,Autoplayed: user action: None; ,Queer Eye: Alemania: Temporada 1: Un día de playa (Capítulo 4),,Chrome PC (Cadmium),00:21:25,Not latest view,AR (Argentina)
Amorcito,2022-04-18 02:48:33,00:29:13,,Queer Eye: Alemania: Temporada 1: El fútbol saldrá del clóset (Capítulo 3),,Chrome PC (Cadmium),00:51:28,00:51:28,AR (Argentina)
Amorcito,2022-04-17 21:52:42,00:00:05,,Queer Eye: Alemania: Temporada 1: El fútbol saldrá del clóset (Capítulo 3),,Chrome PC (Cadmium),00:22:14,Not latest view,AR (Argentina)
Amorcito,2022-04-17 03:54:27,00:22:04,,Queer Eye: Alemania: Temporada 1: El fútbol saldrá del clóset (Capítulo 3),,Chrome PC (Cadmium),00:22:09,Not latest view,AR (Argentina)
Amorcito,2022-04-17 03:05:09,00:47:34,,Queer Eye: Alemania: Temporada 1: El dilema de los contenedores (Capítulo 2),,Chrome PC (Cadmium),00:47:36,00:47:36,AR (Argentina)
Amorcito,2022-04-17 01:46:24,00:00:02,,Queer Eye: Alemania: Temporada 1: El dilema de los contenedores (Capítulo 2),,Chrome PC (Cadmium),00:00:02,Not latest view,AR (Argentina)
Amorcito,2022-04-16 03:23:14,00:01:04,Autoplayed: user action: None; ,Queer Eye: Alemania: Temporada 1: El dilema de los contenedores (Capítulo 2),,Chrome PC (Cadmium),00:01:09,Not latest view,AR (Argentina)
